feature_name,feature_label_ko,feature_group,feature_group_ko,source_table,missing_all,missing_30d,missing_60d,missing_train,missing_valid,missing_test,constant_rate,baseline_candidate_by_missing
kma_asos_weather_station_daily__avg_temp_c,KMA 관측소 ASOS 기상 평균기온(°C),weather_kma,기상/KMA,raw.kma_asos_weather_station_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.03564727954971857,True
kma_asos_weather_station_daily__avg_wind_speed_mps,KMA 관측소 ASOS 기상 평균 풍속(m/s),weather_kma,기상/KMA,raw.kma_asos_weather_station_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.036585365853658534,True
kma_asos_weather_station_daily__cdd18,KMA 관측소 ASOS 기상 냉방도일 CDD18,weather_kma,기상/KMA,raw.kma_asos_weather_station_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.5060975609756098,True
kma_asos_weather_station_daily__hdd18,KMA 관측소 ASOS 기상 난방도일 HDD18,weather_kma,기상/KMA,raw.kma_asos_weather_station_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.3827392120075047,True
kma_asos_weather_station_daily__is_precip_day,KMA 관측소 ASOS 기상 강수일 여부,weather_kma,기상/KMA,raw.kma_asos_weather_station_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.4699812382739212,True
kma_asos_weather_station_daily__max_temp_c,KMA 관측소 ASOS 기상 최고기온(°C),weather_kma,기상/KMA,raw.kma_asos_weather_station_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.03564727954971857,True
kma_asos_weather_station_daily__min_temp_c,KMA 관측소 ASOS 기상 최저기온(°C),weather_kma,기상/KMA,raw.kma_asos_weather_station_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.03564727954971857,True
kma_asos_weather_station_daily__precip_mm,KMA 관측소 ASOS 기상 강수량(mm),weather_kma,기상/KMA,raw.kma_asos_weather_station_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.4699812382739212,True
kma_asos_weather_station_daily__solar_radiation_mj_m2,KMA 관측소 ASOS 기상 일사량(MJ/m²),weather_kma,기상/KMA,raw.kma_asos_weather_station_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.03564727954971857,True
kma_asos_weather_station_daily__sunshine_hours,KMA 관측소 ASOS 기상 일조시간,weather_kma,기상/KMA,raw.kma_asos_weather_station_daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0375234521575985,True
krx_auction_monthly__acc_trdcnt,KRX 배출권 경매 거래건수,auction,KRX 경매,raw.krx_auction_monthly,0.1951219512195122,0.19102196752626552,0.19334619093539054,0.3851851851851852,0.0,0.0,0.17191142191142192,False
krx_auction_monthly__acc_trdvol,KRX 배출권 경매 거래량,auction,KRX 경매,raw.krx_auction_monthly,0.1951219512195122,0.19102196752626552,0.19334619093539054,0.3851851851851852,0.0,0.0,0.08508158508158509,False
krx_auction_monthly__auct_trd_partc_cnt,KRX 배출권 경매 경매 참여자 수,auction,KRX 경매,raw.krx_auction_monthly,0.1951219512195122,0.19102196752626552,0.19334619093539054,0.3851851851851852,0.0,0.0,0.17365967365967366,False
krx_auction_monthly__auct_trd_qty,KRX 배출권 경매 경매 체결수량,auction,KRX 경매,raw.krx_auction_monthly,0.1951219512195122,0.19102196752626552,0.19334619093539054,0.3851851851851852,0.0,0.0,0.05944055944055944,False
krx_auction_monthly__auct_trd_rto,KRX 배출권 경매 경매 체결률,auction,KRX 경매,raw.krx_auction_monthly,0.1951219512195122,0.19102196752626552,0.19334619093539054,0.3851851851851852,0.0,0.0,0.05944055944055944,False
krx_auction_monthly__clsprc,KRX 배출권 경매 종가,auction,KRX 경매,raw.krx_auction_monthly,0.1951219512195122,0.19102196752626552,0.19334619093539054,0.3851851851851852,0.0,0.0,0.05944055944055944,False
